StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0,Q14,Q12,Q15,Q16,Q17,Q18,Q19,Q1,Q4,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q10,MTurkCode
2019-04-13 11:34:55,2019-04-13 11:41:26,IP Address,184.59.231.92,100,391,True,2019-04-13 11:41:26,R_2QJxJ1qiIr2R9v1,,,,,44.27099609375,-88.4326019287109375,anonymous,EN,I consent,2,10-1-20527-10486-49542-R,Yes,Yes,Yes,Slightly satisfied,Moderately intuitive,Male,25 - 34,No,White,2 year degree,Never married,Employed part time,"$40,000 - $49,999",Left,54914,63967352
2019-04-13 11:34:13,2019-04-13 11:41:54,IP Address,76.229.234.164,100,461,True,2019-04-13 11:41:54,R_2COiIN92dNfDEc4,,,,,40.053497314453125,-83.01869964599609375,anonymous,EN,I consent,2,8-6-254368-17876-43202-L,Yes,Yes,Yes,Moderately dissatisfied,Slightly intuitive,Female,18 - 24,No,White,Some college,Never married,Student,"$10,000 - $19,999",Right,43214,23954836
2019-04-13 11:32:46,2019-04-13 11:42:00,IP Address,70.40.89.195,100,554,True,2019-04-13 11:42:00,R_b2Qu0r8xE6jFUMV,,,,,33.904693603515625,-78.57440185546875,anonymous,EN,I consent,2,0-5-11685-10238-9294-L,Yes,Yes,Yes,Slightly satisfied,Moderately intuitive,Male,18 - 24,No,White,Some college,Never married,Employed part time,"$50,000 - $59,999",Right,28465,97355306
2019-04-13 11:34:30,2019-04-13 11:42:46,IP Address,68.184.196.199,100,495,True,2019-04-13 11:42:46,R_sCiqStRXryGYTMB,,,,,38.61419677734375,-90.2910003662109375,anonymous,EN,I consent,2,0-5-13341-9292-15417-R,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Female,25 - 34,No,White,Some college,Divorced,Employed full time,"$60,000 - $69,999",Right,63111,93925701
2019-04-13 11:47:23,2019-04-13 11:52:51,IP Address,128.61.85.131,100,327,True,2019-04-13 11:52:51,R_2740XVpJkKGVqNr,,,,,33.77459716796875,-84.39730072021484375,anonymous,EN,I consent,2,4-1-10992-10096-6696-L,Yes,Yes,Yes,Slightly satisfied,Moderately intuitive,Male,18 - 24,No,Asian,High school graduate,Never married,Student,"$40,000 - $49,999",Right,30332,5212051
2019-04-13 11:51:10,2019-04-13 11:56:00,IP Address,174.82.228.23,100,290,True,2019-04-13 11:56:01,R_1H6r5sdvc2JtC3Q,,,,,43.0321044921875,-89.499298095703125,anonymous,EN,I consent,2,3-1-13082-20318-9032-L,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Male,35 - 44,No,White,High school graduate,Married,Unemployed not looking for work,"$90,000 - $99,999",Right,53593,37210737
2019-04-13 11:50:55,2019-04-13 11:58:42,IP Address,174.212.18.74,100,466,True,2019-04-13 11:58:42,R_1CyEkjyOvch93PM,,,,,34.0121002197265625,-117.68830108642578125,anonymous,EN,I consent,19,13-5-8128-8172-17139-L,Yes,Yes,Yes,Neither satisfied nor dissatisfied,Moderately intuitive,Male,25 - 34,No,Asian,4 year degree,Never married,Employed full time,"$60,000 - $69,999",Right,92126,14806826
2019-04-13 11:56:38,2019-04-13 12:04:26,IP Address,85.152.169.96,100,467,True,2019-04-13 12:04:26,R_2sbe5WCkzC9VRCg,,,,,43.53570556640625,-5.6614990234375,anonymous,EN,I consent,2,0-6-8312-4234-29733-L,Yes,Yes,Yes,Neither satisfied nor dissatisfied,Moderately intuitive,Male,35 - 44,No,White,4 year degree,Never married,Employed full time,"$20,000 - $29,999",Right,na,81309534
2019-04-13 12:06:49,2019-04-13 12:17:10,IP Address,212.201.75.40,100,620,True,2019-04-13 12:17:10,R_9HXfNnYAZk4FIsN,,,,,50.7230987548828125,7.1067962646484375,anonymous,EN,I consent,2,14-6-14702-16296-98332-L,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Male,25 - 34,No,White,Professional degree,Never married,Employed full time,"$40,000 - $49,999",Right,na,54008807
2019-04-13 12:21:21,2019-04-13 12:27:18,IP Address,184.144.117.22,100,357,True,2019-04-13 12:27:18,R_1MKysLtK2IsfnJc,,,,,43.8155975341796875,-79.453399658203125,anonymous,EN,I consent,19,11-6-33557-17343-26668-L,Yes,Yes,Yes,Slightly satisfied,Very intuitive,Male,25 - 34,No,White,High school graduate,Never married,Unemployed looking for work,"$20,000 - $29,999",Right,na,31110224
2019-04-13 12:11:42,2019-04-13 12:29:58,IP Address,157.50.216.98,100,1095,True,2019-04-13 12:29:58,R_3J44DugrAHkJfXM,,,,,10.80499267578125,78.68560791015625,anonymous,EN,I consent,19,3-13-178193-63224-104855-L,Yes,Yes,Yes,Extremely satisfied,Extremely intuitive,Female,18 - 24,Yes,Asian,Some college,Separated,Employed full time,"Less than $10,000",Right,NA,67162632
2019-04-13 12:49:07,2019-04-13 13:02:51,IP Address,117.197.194.109,100,823,True,2019-04-13 13:02:51,R_8df2BQKeetFz4kx,,,,,10.990997314453125,76.966705322265625,anonymous,EN,I consent,19,0-5-40504-23393-17353-L,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Male,45 - 54,No,Asian,4 year degree,Married,Employed full time,"$10,000 - $19,999",Right,na,93076702
2019-04-13 12:56:51,2019-04-13 13:14:29,IP Address,2.45.0.197,100,1057,True,2019-04-13 13:14:30,R_3m9LBC25FQ1Ib86,,,,,44.4048004150390625,8.94439697265625,anonymous,EN,I consent,2,4-6-27771-25444-295149-R,Yes,Yes,Yes,Moderately satisfied,Extremely intuitive,Male,25 - 34,No,Asian,Professional degree,Married,Employed full time,"$30,000 - $39,999",Left,na,19122769
2019-04-13 13:03:02,2019-04-13 13:17:59,IP Address,89.187.178.140,100,896,True,2019-04-13 13:17:59,R_3RqGteLAn44wH32,,,,,41.190093994140625,-74.04360198974609375,anonymous,EN,I consent,2,2-5-18903-18634-73082-R,Yes,Yes,Yes,Extremely satisfied,Very intuitive,Male,25 - 34,No,White,4 year degree,Married,Employed full time,"$50,000 - $59,999",Right,74066,11729924
2019-04-13 14:30:50,2019-04-13 14:39:15,IP Address,23.243.78.96,100,504,True,2019-04-13 14:39:16,R_1rIirumAybVBtjo,,,,,33.761993408203125,-117.9324951171875,anonymous,EN,I consent,2,4-2-11104-8241-76137-R,Yes,Yes,Yes,Extremely satisfied,Extremely intuitive,Female,25 - 34,Yes,Other,Some college,Never married,Employed full time,"$20,000 - $29,999",Right,92840,78282740
2019-04-13 14:44:52,2019-04-13 14:56:10,IP Address,76.240.240.47,100,677,True,2019-04-13 14:56:10,R_2PwmdhUaKDqpre3,,,,,28.206207275390625,-80.68740081787109375,anonymous,EN,I consent,2,12-6-7753-79523-81130-L,Yes,Yes,Yes,Moderately dissatisfied,Slightly intuitive,Female,35 - 44,No,White,Professional degree,Married,Employed full time,"More than $150,000",Left,32940,4344027
2019-04-13 15:01:13,2019-04-13 15:05:52,IP Address,208.114.165.17,100,279,True,2019-04-13 15:05:53,R_74jKuD64uNtbrtn,,,,,48.8332977294921875,-125.15000152587890625,anonymous,EN,I consent,7,1-5-13785-14031-24511-R,Yes,Yes,Yes,Slightly satisfied,Moderately intuitive,Male,25 - 34,No,White,4 year degree,Married,Employed full time,"$40,000 - $49,999",Left,na,65141673
2019-04-13 15:15:04,2019-04-13 15:24:47,IP Address,138.59.206.126,100,582,True,2019-04-13 15:24:47,R_3niKLkd3sP11yn1,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,I consent,19,5-6-29788-20392-76024-R,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Male,35 - 44,No,White,4 year degree,Married,Employed full time,"$50,000 - $59,999",Right,78228,25362283
2019-04-13 15:27:54,2019-04-13 15:36:08,IP Address,86.45.47.219,100,494,True,2019-04-13 15:36:09,R_ZmJV0eGrqZvMTQt,,,,,53.2682952880859375,-8.9199981689453125,anonymous,EN,I consent,19,4-1-27949-15808-68372-R,Yes,Yes,Yes,Slightly satisfied,Very intuitive,Male,35 - 44,No,White,High school graduate,Married,Employed full time,"$20,000 - $29,999",Right,90200,42833853
2019-04-13 15:44:49,2019-04-13 15:54:05,IP Address,5.35.222.31,100,556,True,2019-04-13 15:54:06,R_2VseCOnWd6v97oT,,,,,37.67120361328125,-1.7017059326171875,anonymous,EN,I consent,19,2-6-53607-28007-16174-R,Yes,No,No,Moderately satisfied,Very intuitive,Female,18 - 24,Yes,Other,2 year degree,Never married,Employed full time,"Less than $10,000",Right,,32836155
2019-04-13 15:53:09,2019-04-13 16:01:24,IP Address,24.22.96.166,100,495,True,2019-04-13 16:01:25,R_2wvK3EQKeL3Mc1q,,,,,45.5287933349609375,-122.682098388671875,anonymous,EN,I consent,2,17-2-11687-24346-1555192583723-L,Yes,Yes,Yes,Slightly dissatisfied,Moderately intuitive,Other,25 - 34,Yes,White,Some college,Never married,Disabled,"$30,000 - $39,999",Right,97209,33920877
2019-04-13 16:25:32,2019-04-13 16:39:46,IP Address,185.134.130.73,100,853,True,2019-04-13 16:39:46,R_8d235c0YyCHILDz,,,,,52.4062042236328125,12.9669952392578125,anonymous,EN,I consent,2,3-5-23491-29743-70513-L,Yes,Yes,Yes,Extremely satisfied,Very intuitive,Female,25 - 34,No,Asian,Professional degree,Never married,Employed full time,"$20,000 - $29,999",Right,na,89192112
2019-04-13 16:45:33,2019-04-13 16:50:44,IP Address,73.201.140.243,100,311,True,2019-04-13 16:50:45,R_2TB3ku5406dxQ4g,,,,,39.1360931396484375,-77.28240203857421875,anonymous,EN,I consent,2,0-6-8576-4216-6592-R,Yes,Yes,Yes,Moderately satisfied,Slightly intuitive,Male,25 - 34,No,White,4 year degree,Never married,Unemployed looking for work,"$30,000 - $39,999",Left,21117,33247923
2019-04-13 17:29:08,2019-04-13 17:34:18,IP Address,98.4.185.128,100,310,True,2019-04-13 17:34:18,R_3iF18I5JiUkE2Vi,,,,,43.1833953857421875,-77.60430145263671875,anonymous,EN,I consent,7,9-0-16564-55600-15018-R,Yes,Yes,Yes,Slightly dissatisfied,Slightly intuitive,Other,25 - 34,No,White,4 year degree,Never married,Employed part time,"$10,000 - $19,999",Right,14607,76177487
2019-04-13 17:29:48,2019-04-13 17:36:48,IP Address,173.25.143.102,100,419,True,2019-04-13 17:36:48,R_32KHz3qMpd4EKwz,,,,,41.7212066650390625,-93.56819915771484375,anonymous,EN,I consent,2,9-1-10358-10040-1555198314139-L,Yes,Yes,Yes,Neither satisfied nor dissatisfied,Moderately intuitive,Female,25 - 34,No,"White,Black or African American",2 year degree,Married,Employed full time,"$30,000 - $39,999",Left,50021,20905930
2019-04-13 17:31:05,2019-04-13 17:38:39,IP Address,72.65.236.201,100,453,True,2019-04-13 17:38:39,R_3MGTw2ktKzccO93,,,,,40.5048065185546875,-79.9138031005859375,anonymous,EN,I consent,2,8-1-21669-21337-39719-L,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Male,35 - 44,No,White,High school graduate,Never married,Unemployed not looking for work,"$20,000 - $29,999",Right,15215,89732243
2019-04-13 17:48:33,2019-04-13 17:52:45,IP Address,99.224.60.220,100,251,True,2019-04-13 17:52:46,R_1KeS3AX4wFVlW3I,,,,,43.6999969482421875,-79.56670379638671875,anonymous,EN,I consent,11,1-3-15104-13754-1555199455560-R,Yes,Yes,Yes,Moderately dissatisfied,Not intuitive at all,Male,25 - 34,Yes,White,4 year degree,Married,Employed full time,"$100,000 - $149,999",Right,na,83685296
2019-04-13 17:52:18,2019-04-13 17:58:10,IP Address,75.164.147.1,100,352,True,2019-04-13 17:58:10,R_4TKAQikbHRQTbNL,,,,,45.6417999267578125,-122.6800994873046875,anonymous,EN,I consent,2,4-2-28604-13195-3010-L,Yes,Yes,Yes,Moderately satisfied,Extremely intuitive,Male,35 - 44,No,White,Professional degree,Married,Employed full time,"$70,000 - $79,999",Right,97203,18876371
2019-04-12 15:51:04,2019-04-13 18:13:33,IP Address,117.249.220.94,100,94949,True,2019-04-13 18:13:34,R_3fZS2zoDCAf74v6,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,I consent,19,1-7-29248-171184-1555200246774-R,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Female,25 - 34,Yes,Asian,4 year degree,Married,Employed full time,"$10,000 - $19,999",Right,90002,6872632
2019-04-13 18:18:08,2019-04-13 18:24:24,IP Address,65.99.113.165,100,376,True,2019-04-13 18:24:24,R_2aWZoqukCQki1YE,,,,,38.281097412109375,-77.12599945068359375,anonymous,EN,I consent,7,9-7-11203-10084-89776-R,Yes,Yes,Yes,Moderately dissatisfied,Moderately intuitive,Female,25 - 34,No,White,Some college,Divorced,Employed part time,"$10,000 - $19,999",Right,22485,84275221
2019-04-13 18:18:56,2019-04-13 18:26:11,IP Address,73.110.38.14,100,435,True,2019-04-13 18:26:12,R_24H2cl6yvcHAdyZ,,,,,41.970306396484375,-87.66400146484375,anonymous,EN,I consent,7,9-1-5018-9938-42267-R,Yes,Yes,Yes,Moderately satisfied,Extremely intuitive,Female,18 - 24,Yes,Black or African American,4 year degree,Never married,Student,"$10,000 - $19,999",Right,60607,40892384
2019-04-13 18:16:49,2019-04-13 18:27:09,IP Address,106.77.37.196,100,620,True,2019-04-13 18:27:10,R_1GIrsFUC3vGgDIt,,,,,18.533203125,73.8625946044921875,anonymous,EN,I consent,2,0-5-23978-29016-33921-L,No,No,No,Extremely satisfied,Very intuitive,Male,35 - 44,No,Asian,4 year degree,Married,Employed full time,"Less than $10,000",Right,na,23018996
2019-04-13 18:48:30,2019-04-13 19:00:32,IP Address,172.58.175.103,100,722,True,2019-04-13 19:00:33,R_3QMFbeRNOPDn6Te,,,,,28.4882965087890625,-81.406097412109375,anonymous,EN,I consent,0,4-2-17347-17763-1555203194103-L,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Male,35 - 44,No,White,4 year degree,Married,Unemployed not looking for work,"$20,000 - $29,999",Right,32640,40743687
2019-04-13 19:02:15,2019-04-13 19:11:17,IP Address,172.56.41.234,100,541,True,2019-04-13 19:11:17,R_1KlNhRqmapbYFkr,,,,,36.196197509765625,-115.26329803466796875,anonymous,EN,I consent,2,14-0-20300-20254-42262-L,Yes,Yes,Yes,Neither satisfied nor dissatisfied,Slightly intuitive,Female,35 - 44,No,Black or African American,Some college,Never married,Unemployed looking for work,"$10,000 - $19,999",Left,89169,23294772
2019-04-13 19:39:49,2019-04-13 19:46:40,IP Address,122.164.213.1,100,410,True,2019-04-13 19:46:40,R_31XccKV4oxAsQGo,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,I consent,19,0-5-15705-11657-22457-R,No,No,Yes,Extremely satisfied,Moderately intuitive,Female,25 - 34,No,Asian,4 year degree,Never married,Employed full time,"$90,000 - $99,999",Right,na,98303416
2019-04-13 19:51:43,2019-04-13 19:57:03,IP Address,122.164.67.186,100,319,True,2019-04-13 19:57:03,R_Ui1QdUbjLfW5hSN,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,I consent,19,0-6-13239-9640-2929-L,Yes,Yes,No,Extremely satisfied,Extremely intuitive,Female,25 - 34,No,Asian,4 year degree,Never married,Employed full time,"$90,000 - $99,999",Right,NA,21203608
2019-04-13 22:05:40,2019-04-13 22:31:35,IP Address,27.57.18.9,100,1554,True,2019-04-13 22:31:35,R_1kLjgbc486BVcix,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,I consent,5,112-12-19208-101192-21186-R,Yes,Yes,Yes,Moderately dissatisfied,Slightly intuitive,Male,25 - 34,No,Asian,Professional degree,Married,Employed full time,"$10,000 - $19,999",Right,35816,24205045
2019-04-13 23:19:19,2019-04-13 23:32:13,IP Address,99.165.224.8,100,774,True,2019-04-13 23:32:14,R_2sbi1s1X3glxT0x,,,,,29.7449951171875,-95.73259735107421875,anonymous,EN,I consent,2,16-5-12203-8003-155953-R,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Male,25 - 34,Yes,White,Some college,Never married,Unemployed looking for work,"$40,000 - $49,999",Right,77450,27310567
2019-04-13 23:41:40,2019-04-13 23:47:04,IP Address,96.42.56.72,100,323,True,2019-04-13 23:47:04,R_phKM1okWJg3Z5UR,,,,,43.0334014892578125,-89.451202392578125,anonymous,EN,I consent,2,6-0-18304-14623-46302-R,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Male,18 - 24,No,White,4 year degree,Never married,Employed full time,"$60,000 - $69,999",Right,53713,83358914
2019-04-13 23:55:29,2019-04-14 00:03:46,IP Address,98.232.110.64,100,497,True,2019-04-14 00:03:46,R_1QbHUCmoRVWuFfk,,,,,47.722900390625,-122.19609832763671875,anonymous,EN,I consent,6,4-2-39154-28379-21792-R,Yes,Yes,Yes,Slightly dissatisfied,Moderately intuitive,Male,25 - 34,No,Asian,Some college,Never married,Employed full time,"$70,000 - $79,999",Right,98208,5686014
2019-04-14 00:05:28,2019-04-14 00:13:38,IP Address,149.161.68.192,100,489,True,2019-04-14 00:13:38,R_3fjkjKne7KbCiIK,,,,,41.65460205078125,-86.24790191650390625,anonymous,EN,I consent,2,7-1-12099-88707-57411-R,Yes,Yes,Yes,Neither satisfied nor dissatisfied,Moderately intuitive,Male,25 - 34,No,Asian,Professional degree,Married,Employed full time,"$100,000 - $149,999",Right,60193,40083484
2019-04-13 23:49:25,2019-04-14 00:15:24,IP Address,76.115.120.75,100,1559,True,2019-04-14 00:15:25,R_2OZNedtnwZrQXbE,,,,,44.626007080078125,-123.05699920654296875,anonymous,EN,I consent,2,4-12-33138-14961-138242-R,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Female,25 - 34,No,Other,Doctorate,Married,Unemployed looking for work,"Less than $10,000",Right,97333,16290883
2019-04-14 00:17:16,2019-04-14 00:23:49,IP Address,137.97.130.14,100,393,True,2019-04-14 00:23:49,R_2s1tMdlXM9R5FIt,,,,,9.966705322265625,76.233306884765625,anonymous,EN,I consent,2,0-5-9840-8488-8545-R,Yes,Yes,No,Slightly satisfied,Very intuitive,Male,18 - 24,No,Asian,High school graduate,Married,Employed full time,"Less than $10,000",Right,na,3458749
2019-04-14 00:42:59,2019-04-14 01:01:52,IP Address,157.51.101.41,100,1133,True,2019-04-14 01:01:53,R_1GJEJGbQtrtQ1Cc,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,I consent,19,6-5-26201-17480-48093-L,Yes,Yes,Yes,Extremely satisfied,Very intuitive,Female,25 - 34,No,Other,Professional degree,Never married,Employed part time,"Less than $10,000",Right,na,26354715
2019-04-14 03:12:40,2019-04-14 03:15:41,IP Address,83.85.150.108,100,180,True,2019-04-14 03:15:41,R_aaWHZnVAy1T4zh7,,,,,52.094696044921875,5.0946044921875,anonymous,EN,I consent,7,2-5-7492-8370-1555233247240-R,No,No,No,Slightly satisfied,Moderately intuitive,Male,25 - 34,No,White,4 year degree,Married,Employed part time,"$20,000 - $29,999",Right,na,45004766
2019-04-14 06:38:42,2019-04-14 06:45:32,IP Address,174.240.131.219,100,410,True,2019-04-14 06:45:33,R_1QrLqEPzGtht0O2,,,,,29.9734039306640625,-90.0885009765625,anonymous,EN,I consent,7,4-1-25583-14317-4802-R,Yes,Yes,Yes,Slightly satisfied,Slightly intuitive,Female,55 - 64,No,White,2 year degree,Divorced,Employed part time,"$50,000 - $59,999",Left,32750,82345923
2019-04-14 10:04:35,2019-04-14 10:04:40,IP Address,157.51.92.206,100,5,True,2019-04-14 10:04:40,R_27IMuCSlHZUqhmx,,,,,10.990997314453125,76.966705322265625,anonymous,EN,I do NOT consent,,,,,,,,,,,,,,,,,,
2019-04-14 10:19:13,2019-04-14 10:36:16,IP Address,197.20.118.61,100,1023,True,2019-04-14 10:36:16,R_dienQfwNtCMA169,,,,,36.8061065673828125,10.1710968017578125,anonymous,EN,I consent,2,8-8-41092-64632-182623-R,No,Yes,No,Extremely satisfied,Very intuitive,Male,35 - 44,No,"White,Black or African American",Professional degree,Divorced,Employed full time,"$10,000 - $19,999",Right,33805,57012357
2019-04-14 15:50:36,2019-04-14 16:02:03,IP Address,98.70.99.214,100,686,True,2019-04-14 16:02:03,R_2yqnsyaGRwvlgrz,,,,,35.8527984619140625,-84.497100830078125,anonymous,EN,I consent,2,9-1-43521-27903-1555278994158-R,Yes,Yes,Yes,Slightly satisfied,Very intuitive,Female,45 - 54,No,White,High school graduate,Married,Employed full time,"$60,000 - $69,999",Right,37882,20114794
2019-04-14 16:00:43,2019-04-14 16:31:24,IP Address,196.66.156.144,100,1840,True,2019-04-14 16:31:24,R_3sn54CG7z1gFNde,,,,,35.57110595703125,-5.372406005859375,anonymous,EN,I consent,2,2-8-26228-17767-152378-L,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Male,18 - 24,No,Other,2 year degree,Never married,Employed part time,"$20,000 - $29,999",Right,na,18114454
2019-04-14 18:44:18,2019-04-14 18:58:35,IP Address,73.183.146.150,100,856,True,2019-04-14 18:58:35,R_pnN1ZFJrkIeBii5,,,,,29.924896240234375,-95.05780029296875,anonymous,EN,I consent,2,8-8-6969-23888-192395-L,Yes,Yes,Yes,Extremely satisfied,Extremely intuitive,Female,45 - 54,No,Black or African American,2 year degree,Never married,Employed part time,"$10,000 - $19,999",Right,77521,23727826
2019-04-14 20:29:18,2019-04-14 20:40:00,IP Address,134.48.163.140,100,642,True,2019-04-14 20:40:00,R_2rwGIzqZDm2OfgM,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,I consent,2,8-1-21501-21397-1555295552622-L,Yes,Yes,Yes,Neither satisfied nor dissatisfied,Slightly intuitive,Male,18 - 24,No,White,Some college,Never married,Student,"$10,000 - $19,999",Right,03820,33493284
2019-04-15 07:54:49,2019-04-15 08:00:04,IP Address,201.80.0.208,100,314,True,2019-04-15 08:00:04,R_ABtSNzsSVI7nQBz,,,,,-19.8975067138671875,-43.962493896484375,anonymous,EN,I consent,19,1-5-13200-13959-8286-R,No,No,No,Neither satisfied nor dissatisfied,Not intuitive at all,Female,25 - 34,Yes,Other,Professional degree,Never married,Employed part time,"$10,000 - $19,999",Right,na,76718555
2019-04-15 07:55:57,2019-04-15 08:02:05,IP Address,98.156.66.119,100,368,True,2019-04-15 08:02:05,R_3FLFDYSQ56enPDI,,,,,39.045196533203125,-94.718902587890625,anonymous,EN,I consent,2,4-10-8430-5504-5733-L,Yes,Yes,Yes,Neither satisfied nor dissatisfied,Moderately intuitive,Male,35 - 44,No,White,2 year degree,Never married,Employed full time,"$30,000 - $39,999",Left,66214,41996054
2019-04-15 07:58:26,2019-04-15 08:03:10,IP Address,108.188.28.134,100,284,True,2019-04-15 08:03:10,R_1poFflkSIKbkJp8,,,,,28.4636993408203125,-81.39479827880859375,anonymous,EN,I consent,2,7-0-22538-6585-11369-L,Yes,Yes,Yes,Extremely satisfied,Very intuitive,Male,18 - 24,Yes,White,4 year degree,Never married,Employed full time,"$30,000 - $39,999",Left,32801,89260364
2019-04-15 07:57:10,2019-04-15 08:03:44,IP Address,70.44.106.169,100,393,True,2019-04-15 08:03:44,R_31LU7Cjm6mp19io,,,,,40.1221923828125,-76.7736968994140625,anonymous,EN,I consent,2,8-1-13208-10450-5287-L,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Male,18 - 24,No,White,Some college,Never married,Employed full time,"$90,000 - $99,999",Right,17370,68864453
2019-04-15 07:56:29,2019-04-15 08:04:02,IP Address,68.197.243.210,100,453,True,2019-04-15 08:04:03,R_yPbPw2WCJ03plqp,,,,,40.6739044189453125,-73.93579864501953125,anonymous,EN,I consent,2,2-7-5890-12655-3825-L,Yes,Yes,Yes,Moderately satisfied,Slightly intuitive,Male,25 - 34,No,Black or African American,Some college,Never married,Unemployed looking for work,"$40,000 - $49,999",Right,11225,95789759
2019-04-15 07:59:05,2019-04-15 08:04:55,IP Address,68.203.29.135,100,349,True,2019-04-15 08:04:55,R_1k2j5q0Hqj6KTGe,,,,,30.4239959716796875,-97.7931976318359375,anonymous,EN,I consent,2,6-1-14089-10355-11919-R,Yes,Yes,Yes,Extremely satisfied,Extremely intuitive,Male,25 - 34,Yes,White,Some college,Never married,Employed full time,"$40,000 - $49,999",Right,78729,45828879
2019-04-11 19:41:04,2019-04-15 08:05:12,IP Address,157.46.22.201,100,303848,True,2019-04-15 08:05:13,R_yDgsXxF1rLdLRIJ,,,,,10.990997314453125,76.966705322265625,anonymous,EN,I consent,19,1-5-8601-3965-4745-R,Yes,Yes,Yes,Moderately satisfied,Moderately intuitive,Male,25 - 34,Yes,American Indian or Alaska Native,4 year degree,Married,Employed full time,"$10,000 - $19,999",Right,46368,1763816
2019-04-15 08:02:32,2019-04-15 08:05:48,IP Address,174.97.8.52,100,196,True,2019-04-15 08:05:48,R_1rjYQ3Yh5lqoVK1,,,,,39.1641998291015625,-84.45220184326171875,anonymous,EN,I consent,7,4-1-9054-8809-11410-L,Yes,Yes,Yes,Moderately satisfied,Very intuitive,Male,25 - 34,No,White,High school graduate,Never married,Employed part time,"$30,000 - $39,999",Right,45212,12362410
2019-04-15 07:55:11,2019-04-15 08:05:49,IP Address,74.101.17.225,100,638,True,2019-04-15 08:05:49,R_3Ho7ztrdmQtk1nu,,,,,40.6981048583984375,-73.704498291015625,anonymous,EN,I consent,2,0-5-25181-19838-14216-R,Yes,Yes,Yes,Extremely satisfied,Very intuitive,Female,55 - 64,No,White,Some college,Married,Unemployed looking for work,"More than $150,000",Right,11001,46892586
2019-04-15 07:55:22,2019-04-15 08:05:59,IP Address,192.241.68.32,100,637,True,2019-04-15 08:05:59,R_2ZBqPYp9Jqw9Cvi,,,,,36.8529052734375,-76.28780364990234375,anonymous,EN,I consent,19,5-5-14348-24104-5619-L,Yes,Yes,No,Extremely satisfied,Extremely intuitive,Male,45 - 54,No,White,4 year degree,Married,Employed full time,"$80,000 - $89,999",Right,78746,75677061
2019-04-15 07:58:18,2019-04-15 08:06:58,IP Address,173.215.62.4,100,519,True,2019-04-15 08:06:58,R_2Uaux4MwRynl4ef,,,,,40.742401123046875,-91.97039794921875,anonymous,EN,I consent,19,2-5-20232-44220-14416-R,Yes,Yes,Yes,Extremely satisfied,Extremely intuitive,Female,35 - 44,No,White,Some college,Widowed,Employed full time,"Less than $10,000",Left,52565,28940367
2019-04-11 11:31:42,2019-04-15 08:10:57,IP Address,191.177.183.238,100,333555,True,2019-04-15 08:10:57,R_2aEv9agPa3Oj0zc,,,,,-25.502593994140625,-49.291595458984375,anonymous,EN,I consent,18,0-5-24698-32996-5521-L,Yes,Yes,No,Extremely satisfied,Moderately intuitive,Male,25 - 34,No,White,2 year degree,Never married,Employed part time,"$10,000 - $19,999",Right,na,55696124
2019-04-15 08:12:33,2019-04-15 08:17:55,IP Address,157.50.59.32,100,321,True,2019-04-15 08:17:55,R_1FhnRk6aRsjtjfI,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,I consent,2,0-5-6788-5150-4661-R,No,Yes,No,Extremely satisfied,Very intuitive,Male,18 - 24,No,Asian,4 year degree,Never married,Employed full time,"Less than $10,000",Right,na,16829639
2019-04-15 08:06:19,2019-04-15 08:18:47,IP Address,59.97.36.28,100,747,True,2019-04-15 08:18:47,R_aeGaAolys2yxgdz,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,I consent,19,29-5-19210-19942-21973-R,Yes,Yes,Yes,Extremely satisfied,Extremely intuitive,Female,25 - 34,No,Asian,Professional degree,Never married,Employed full time,"$100,000 - $149,999",Right,15004,35981163
